genes,Synonym
PCDHB15,['PCDH-BETA15']
ELMOD3,"['RBED1', 'FLJ21977', 'DFNB88', 'RBM29']"
CARS2,['FLJ12118']
HBZ,"['HBZ1', 'HBZ-T1']"
ZNF564,['MGC26914']
PIWIL3,['HIWI3']
GAL3ST2,['GP3ST']
GNPNAT1,"['FLJ10607', 'Gpnat1']"
LAX1,"['LAX', 'FLJ20340']"
DPM1,"['MPDS', 'CDGIE']"
POSTN,"['periostin', 'OSF-2', 'PN']"
ZNF81,"['HFZ20', 'MRX45']"
ZNF107,"['smap-7', 'ZFD25', 'ZNF588']"
FIZ1,"['ZNF798', 'FLJ14768']"
CLUAP1,"['KIAA0643', 'CFAP22', 'FAP22', 'FLJ13297', 'IFT38']"
SEMA6C,"['Sema-Y', 'KIAA1869']"
FRG1,"['FSG1', 'FRG1A']"
GALNTL5,"['GALNT15', 'GalNAc-T5L']"
DISP1,"['MGC13130', 'DISPA', 'DKFZP434I0428', 'MGC16796']"
PIGP,"['DSRC', 'DSCR5', 'DCRC']"
SRR,"['ISO1', 'ILV1']"
CD163,"['SCARI1', 'MM130', 'M130']"
ZNF433,['FLJ40981']
SOAT2,['ACAT2']
MEP1B,[nan]
IHH,"['HHG2', 'BDA1']"
AKR1D1,['SRD5B1']
LILRA4,"['CD85g', 'ILT7']"
CD1D,[nan]
KDELR3,[nan]
BTNL9,"['FLJ32535', 'BTN8']"
TPH1,"['TPRH', 'TPH']"
TEX14,['CT113']
NOL7,"['NOP27', 'C6orf90', 'RARG-1', 'dJ223E5.2', 'PQBP3']"
POLR3GL,"['flj32422', 'MGC3200']"
ZNF600,"['DKFZp686F06123', 'KR-ZNF1']"
SNF8,"['EAP30', 'VPS22', 'Dot3']"
OCIAD2,['MGC45416']
EMC8,"['C16orf2', 'COX4NB', 'NOC4', 'FAM158B', 'C16orf4']"
HOXD11,"['HOX4', 'HOX4F']"
CYP2J2,[nan]
TCEA3,['TFIIS.H']
USP26,[nan]
C8A,[nan]
SNX20,"['SLIC1', 'SLIC-1']"
HOXB6,"['HOX2B', 'HOX2']"
PHOX2A,"['FEOM2', 'ARIX', 'CFEOM2', 'PMX2A']"
DNAJC2,"['MPP11', 'ZRF1', 'zuotin', 'ZUO1', 'MPHOSPH11']"
GNAT1,['CSNBAD3']
LYSMD1,"['RP11-68I18.5', 'MGC35223', 'SB145']"
CCR2,"['CKR2', 'CC-CKR-2', 'CD192', 'FLJ78302', 'MCP-1-R', 'CMKBR2']"
BTN3A2,['BTN3.2']
DNAI1,"['PCD', 'DIC1', 'CILD1']"
IGFBP1,"['IGF-BP25', 'AFBP', 'IBP1', 'PP12', 'hIGFBP-1']"
SOX3,['PHP']
OGG1,"['MUTM', 'OGH1', 'HOGG1', 'HMMH']"
BCDIN3D,[nan]
SLC40A1,"['SLC11A3', 'HFE4', 'FPN1', 'IREG1', 'MTP1']"
CIDEA,['CIDE-A']
CRIP3,"['bA480N24.2', 'TLP', 'TLP-A']"
CD101,"['V7', 'IGSF2']"
GYPA,"['GPA', 'MN', 'CD235a', 'MNS']"
SLC22A8,['OAT3']
APOL1,['APOL']
OAZ3,[nan]
NKX2-4,"['NKX2.4', 'NKX2D']"
AURKC,"['STK13', 'AurC', 'ARK3']"
PAX9,[nan]
ZXDB,['ZNF905']
ZFP28,"['KIAA1431', 'mkr5']"
NKAPL,"['bA424I5.1', 'C6orf194']"
CETN3,['CEN3']
DHODH,[nan]
GTF3C6,"['bA397G5.3', 'C6orf51', 'TFIIIC35']"
STARD8,"['KIAA0189', 'ARHGAP38']"
RHD,"['DIIIc', 'CD240D', 'RhPI', 'RH', 'Rh4', 'RhII', 'Rh30a']"
HAO2,"['GIG16', 'HAOX2']"
TYSND1,"['MGC34695', 'NET41']"
SHISA3,['hShisa3']
FUT11,['MGC33202']
ETAA1,['ETAA16']
BHLHE23,"['Beta4', 'BHLHB4', 'bA305P22.3']"
ZKSCAN4,"['p373c6.1', 'ZSCAN36', 'P1P373C6', 'ZNF427', 'ZNF307', 'FLJ32136']"
PLIN2,"['ADFP', 'ADRP']"
CERS5,"['MGC45411', 'FLJ25304', 'LASS5', 'Trh4']"
CHRNE,['ACHRE']
GATA6,[nan]
USPL1,"['D13S106E', 'C13orf22', 'bA121O19.1']"
UTF1,[nan]
POP5,[nan]
MTG1,['GTPBP7']
LCMT2,"['TYW4', 'PPM2', 'KIAA0547', 'MGC9534']"
ZNF415,[nan]
ZNF345,['HZF10']
MTFR2,"['FAM54A', 'DUFD1']"
FAM222B,"['C17orf63', 'FLJ10700']"
SLC3A1,"['ATR1', 'CSNU1', 'RBAT', 'D2H', 'NBAT']"
CYP2C19,"['CPCJ', 'CYP2C', 'P450IIC19']"
SLC25A38,['FLJ20551']
PLIN1,['PLIN']
CRABP1,"['RBP5', 'CRABP', 'CRABP-I', 'CRABPI']"
AKAP4,"['p82', 'CT99', 'hAKAP82', 'HI', 'AKAP82', 'Fsc1']"
ITGB1BP2,['CHORDC3']
APOA2,[nan]
LDHC,['CT32']
TMIGD2,"['MGC23244', 'CD28H', 'IGPR-1']"
PRIM1,[nan]
LYZL4,"['MGC26768', 'LYC4']"
SLC7A7,"['LPI', 'y+LAT-1']"
EVA1A,"['TMEM166', 'FLJ13391', 'FAM176A']"
CTNNBIP1,"['MGC15093', 'ICAT']"
NFE2L3,['Nrf3']
BHMT,['BHMT1']
FMO3,['FMOII']
UNC119B,"['POC7B', 'MGC5139']"
TMEM138,"['JBTS16', 'HSPC196']"
ZNF114,['MGC17986']
CDH16,[nan]
HAAO,[nan]
ALG10,"['ALG10A', 'FLJ14751', 'DIE2']"
ZNF226,[nan]
HAS3,[nan]
NAA38,"['PFAAP2', 'LSMD1', 'MGC14151']"
ZNF691,['Zfp691']
SAMD9L,"['FLJ39885', 'C7orf6', 'KIAA2005']"
CDHR3,"['CDH28', 'FLJ23834', 'FLJ44366']"
RUFY4,"['FLJ46536', 'ZFYVE31']"
GTPBP2,[nan]
GIMAP8,"['IAN9', 'DKFZp667I133', 'hIAN6']"
CCDC116,['FLJ36046']
ART4,"['DOK1', 'CD297', 'ARTC4', 'DO']"
ZNF491,['FLJ34791']
MTFP1,"['HSPC242', 'MTP18']"
TMSB4Y,['TB4Y']
OASL,"['OASL1', 'p59OASL', 'TRIP14']"
SDS,['SDH']
RDH5,"['RDH1', 'HSD17B9', 'SDR9C5']"
SLC45A2,"['MATP', 'OCA4', 'AIM-1']"
MSANTD4,['KIAA1826']
TICAM2,"['TIRP', 'TRAM', 'TICAM-2']"
SYNPO2L,['FLJ12921']
DNAJB13,"['RSPH16A', 'TSARG6']"
CATSPERG,"['FLJ46353', 'DKFZp434A1022', 'C19orf15']"
PRL,[nan]
CD300A,"['CMRF35H', 'IRC2', 'CMRF-35-H9', 'IGSF12', 'IRC1', 'Irp60']"
ANKRD49,"['FLJ20189', 'FGIF', 'GBIF']"
RFX2,['FLJ14226']
ZNF124,"['HZF-16', 'HZF16']"
TIGD1,['EEYORE']
TRIM45,"['RNF99', 'FLJ13181']"
KRT74,"['KRT5C', 'K6IRS4', 'KRT6IRS4']"
ZNF3,"['HF.12', 'PP838', 'Zfp113', 'A8-51', 'FLJ20216', 'KOX25']"
GMEB1,"['PIF96', 'P96PIF']"
DNAAF3,"['PCD', 'CILD2', 'C19orf51', 'PF22', 'FLJ40069', 'FLJ36139']"
CCDC66,['DKFZp686C0433']
TNNI2,"['FSSV', 'AMCD2B', 'DA2B']"
SHPK,"['SHK', 'CARKL']"
IFNAR2,['IFNABR']
SLC26A2,"['DTDST', 'DTD']"
SLC22A5,"['OCTN2', 'SCD', 'CDSP']"
NKX6-1,"['NKX6A', 'Nkx6.1']"
LRG1,['LRG']
TXNL4B,"['Dim2', 'DLP', 'FLJ20511']"
TIGD6,['DKFZp761E2110']
ZNF569,"['Zfp74', 'FLJ32053', 'ZAP1']"
TRIM16L,['TRIM70']
MNX1,"['HLXB9', 'HB9', 'SCRA1', 'HOXHB9']"
TIMM9,['TIM9A']
ZNF683,"['MGC33414', 'Hobit']"
CATSPERD,"['MGC39581', 'TMEM146']"
CD300LB,"['CLM7', 'TREM5']"
CDH17,"['HPT-1', 'cadherin']"
NANP,"['HDHD4', 'C20orf147', 'dJ694B14.3', 'MGC26833']"
MDM1,[nan]
CLDN14,['DFNB29']
NHEJ1,"['Cernunnos', 'XLF', 'FLJ12610']"
IFT46,"['C11orf60', 'CFAP32', 'FLJ21827', 'C11orf2']"
ZNF584,['FLJ39899']
MCIDAS,"['MCIN', 'MCI', 'IDAS']"
SERPINB12,[nan]
TSSK4,"['C14orf20', 'STK22E']"
GRHL3,"['SOM', 'TFCP2L4']"
GTF2A1L,['ALF']
DDX55,['KIAA1595']
NTF4,"['GLC1O', 'NTF5', 'NT-4/5']"
GDPD3,['MGC4171']
FREM2,['DKFZp686J0811']
GEN1,"['Gen', 'FLJ40869']"
ZNF84,['HPF2']
ZSCAN10,['ZNF206']
SALL4,"['ZNF797', 'dJ1112F19.1']"
THEMIS2,"['ICB-1', 'C1orf38']"
ZNF431,['KIAA1969']
STK17A,['DRAK1']
SLC23A1,"['SLC23A2', 'YSPL3', 'SVCT1']"
DND1,"['RBMS4', 'MGC34750']"
TLR6,['CD286']
RABEPK,"['bA65N13.1', 'RAB9P40']"
SNRNP48,"['FLJ32234', 'C6orf151', 'dJ512B11.2', 'dJ336K20B.1']"
ZIM2,['ZNF656']
SLC15A4,"['PTR4', 'PHT1']"
BLOC1S3,"['HPS8', 'BLOS3']"
LBX2,[nan]
SIGLEC6,"['CD33L', 'CD327', 'CD33L1', 'SIGLEC-6', 'OB-BP1']"
TRMT10B,"['RG9MTD3', 'bA3J10.9', 'FLJ31455']"
HOXA7,"['HOX1', 'HOX1A']"
ZNF845,[nan]
SLC5A4,"['DJ90G24.4', 'SAAT1', 'SGLT3']"
ZNF684,['MGC27466']
TSKS,"['TSSKS', 'PPP1R161']"
ZNF449,"['ZSCAN19', 'FLJ23614']"
SYCE3,['C22orf41']
RBMY1A1,"['RBM1', 'RBM2', 'YRRM1', 'YRRM2']"
PECR,"['SDR29C1', 'TERP', 'HSA250303']"
TMEM100,"['FLJ10970', 'FLJ37856']"
SOX30,[nan]
ZKSCAN7,"['ZSCAN39', 'ZNF448', 'ZNF64', 'ZNF167', 'FLJ12738']"
ACP6,"['LPAP', 'ACPL1']"
CYP21A2,"['CYP21', 'CAH1', 'CYP21B', 'P450c21B', 'CA21H', 'CPS1']"
MYNN,"['ZNF902', 'ZBTB31', 'SBBIZ1']"
TFAP2B,"['AP-2beta', 'AP2-B']"
DDX53,"['CAGE', 'CT26']"
CHST7,"['C6ST2', 'C6ST-2']"
FAM124B,['FLJ22746']
FSCN2,"['RFSN', 'RP30']"
IDO1,"['IDO', 'INDO']"
AFAP1L1,['FLJ36748']
TRNAU1AP,"['FLJ20503', 'TRSPAP1', 'SECP43']"
ZNF384,"['TNRC1', 'CAGH1A', 'CIZ', 'NP', 'NMP4']"
METTL3,"['MT-A70', 'M6A', 'Spo8']"
RFXAP,[nan]
FILIP1L,"['GIP130', 'DOC-1']"
TBX18,[nan]
CIDEB,[nan]
DCLRE1B,"['APOLLO', 'FLJ13998', 'SNM1B', 'FLJ12810']"
SAMD9,"['KIAA2004', 'C7orf5', 'FLJ20073']"
ING2,"['ING1L', 'p33ING2']"
KRT38,['KRTHA8']
USP44,['FLJ14528']
ASMTL,[nan]
HOXB13,[nan]
HOXD13,"['HOX4I', 'SPD']"
ODF1,"['ODFPG', 'HSPB10', 'RT7', 'ODF27', 'CT133']"
GMFG,[nan]
SULT1A4,[nan]
PROP1,[nan]
RBAK,['ZNF769']
PNPLA1,"['dJ50J22.1', 'FLJ38755']"
TEKT1,[nan]
ZNF239,"['MOK2', 'HOK-2']"
CRYAA,"['HSPB4', 'CRYA1']"
ITFG2,"['KICS3', 'MDS028', 'FGGAP1']"
BOD1,['FAM44B']
GHRL,"['ghrelin', 'obestatin', 'MTLRP']"
E2F5,[nan]
MYCT1,"['MTLC', 'FLJ21269']"
LGALS9B,[nan]
PARP9,"['BAL1', 'ARTD9', 'BAL']"
TRMT10A,"['RG9MTD2', 'MGC27034', 'TRM10']"
EXOSC3,"['p10', 'RRP40', 'CGI-102', 'hRrp40p', 'Rrp40p', 'hRrp-40']"
ZNF71,"['Cos26', 'EZFIT']"
MGARP,"['C4orf49', 'CESP-1', 'HUMMR', 'OSAP']"
DEDD,"['DEDD1', 'DEFT', 'FLDED1', 'KE05', 'CASP8IP1']"
CCDC134,['FLJ22349']
HUS1B,[nan]
TLR8,"['hTLR8', 'CD288']"
AMACR,"['P504S', 'RACE']"
MBL2,"['MBL', 'COLEC1']"
SFXN2,['SLC56A2']
NAPSA,"['Kdap', 'NAPA', 'NAP1', 'KAP']"
ORMDL2,"['HSPC160', 'adoplin-2', 'MST095', 'MSTP095']"
SPIN2A,"['DXF34', 'SPIN2', 'TDRD25']"
GGPS1,['GGPPS1']
CENPL,"['dJ383J4.3', 'FLJ31044', 'C1orf155']"
ZBTB6,"['ZID', 'ZNF482']"
ARMC4,[]
GTF2H2,"['BTF2', 'TFIIH', 'BTF2P44', 'T-BTF2P44', 'p44']"
YY2,['ZNF631']
PAXBP1,"['GCFC1', 'fSAP105', 'C21orf66', 'GCFC']"
MB,['PVALB']
TVP23B,"['FAM18B1', 'YDR084C', 'CGI-148', 'FAM18B']"
LPO,['SPO']
ZBTB45,"['ZNF499', 'FLJ14486']"
CD34,[nan]
ETHE1,"['YF13H12', 'HSCO']"
COMMD5,"['FLJ13008', 'HCaRG', 'HT002']"
SCLY,['SCL']
DHRS1,"['MGC20204', 'SDR19C1', 'FLJ25430']"
ERAP2,"['L-RAP', 'LRAP']"
TGM4,['TGP']
MYL10,"['MYLC2PL', 'MGC3479', 'PLRLC']"
ST6GALNAC1,"['SIAT7A', 'ST6GalNAcI']"
DAZ1,"['SPGY', 'DAZ']"
DNAAF1,"['CILD13', 'LRRC50', 'swt', 'FLJ25330', 'ODA7', 'DAU1']"
RAD1,"['REC1', 'HRAD1']"
SLITRK6,['FLJ22774']
IFT22,"['DKFZp761N0823', 'FLJ14117', 'FLJ13225', 'RABL5', 'FAP9']"
CYP2A7,['CYP2A']
EFCAB7,"['RP4-534K7.1', 'KIAA1799']"
IL26,"['IL-26', 'AK155']"
ADM,['AM']
SULT1C2,"['SULT1C1', 'ST1C1']"
PNPLA3,"['C22orf20', 'dJ796I17.1', 'iPLA2epsilon', 'ADPN', 'adiponutrin', 'FLJ22012']"
TIMM8A,"['DFN1', 'MTS', 'DDP']"
SLC34A2,['NAPI-3B']
MYL2,['CMH10']
MRPL30,"['RPML28', 'MRP-L28']"
STOML3,"['SRO', 'Epb7.2l']"
HORMAD2,"['CT46.2', 'MGC26710']"
MIER3,"['DKFZp781I1119', 'DKFZp686L09111', 'FLJ35954']"
CYP2C9,"['CYP2C10', 'P450IIC9']"
LHX9,[nan]
ZSCAN30,"['ZNF917', 'ZNF397OS']"
TCN1,"['TCI', 'TC1']"
ZNF99,"['C19orf9', 'MGC24986']"
NPPB,[nan]
FMO2,[nan]
FOXN1,"['FKHL20', 'RONU', 'WHN']"
TMEM114,[nan]
MDN1,"['Rea1', 'KIAA0301']"
ZNF716,['FLJ46189']
ZNF35,"['HF.10', 'HF10', 'Zfp105']"
CYP4A11,"['CYP4A2', 'CYP4AII']"
AADAT,"['KATII', 'KAT2', 'KYAT2']"
ZNF426,['MGC2663']
AQP2,[nan]
ZNF319,"['KIAA1388', 'Zfp319']"
ZNF397,"['ZSCAN15', 'MGC13250', 'ZNF47']"
POMZP3,"['POM121', 'POM-ZP3']"
TSSK1B,"['TSSK1', 'STK22D', 'FKSG81', 'SPOGA4']"
ARSK,"['DKFZp313G1735', 'TSULF']"
ENAM,['AIH2']
CYP4F22,['FLJ39501']
CGB2,[nan]
CYLC2,[nan]
ZNF268,['HZF3']
ACSBG2,"['BGR', 'DKFZp434K1635', 'PRTD-NY3']"
FUT2,"['sej', 'Se2', 'SE', 'SEC2']"
GRHL1,"['MGR', 'LBP-32', 'TFCP2L2']"
SAYSD1,"['FLJ11101', 'C6orf64']"
RAET1L,[nan]
GMPR,[nan]
ZNF624,['KIAA1349']
SFR1,"['bA373N18.1', 'C10orf78', 'MEI5', 'MEIR5', 'FLJ41960']"
SLC25A47,"['HDCMP', 'C14orf68']"
RAET1G,['ULBP5']
ZNF232,['ZSCAN11']
KLB,[nan]
CCDC174,"['FLJ33839', 'ctr1', 'C3orf19']"
KRT33A,"['KRTHA3A', 'Krt1-3', 'Ha-3I']"
RNF17,"['Mmip-2', 'FLJ11045', 'SPATA23', 'TDRD4']"
ZNF311,[nan]
AKAP3,"['CT82', 'AKAP110', 'SOB1', 'FSP95']"
CSNK1A1L,['MGC33182']
GINS2,"['Pfs2', 'PSF2']"
BBS5,['DKFZp762I194']
MATN3,"['EDM5', 'HOA']"
OVCA2,[nan]
ZNF404,[nan]
KANSL2,"['C12orf41', 'FLJ20436', 'NSL2']"
CLCA2,['CLCRG2']
GDF15,"['MIC-1', 'PLAB', 'MIC1', 'PDF', 'PTGFB', 'NAG-1']"
DCST1,['FLJ32785']
KIR2DL1,"['47.11', 'p58.1', 'cl-42', 'CD158A', 'nkat1']"
SLC5A2,['SGLT2']
ZNF568,['DKFZp686B0797']
SIGLEC7,"['CD328', 'SIGLEC19P', 'p75/AIRM1', 'SIGLECP2', 'SIGLEC-7', 'QA79']"
KDM4D,"['FLJ10251', 'JMJD2D']"
NRL,"['D14S46E', 'NRL-MAF', 'RP27']"
DMRTB1,[nan]
CASP5,['ICE(rel)III']
CLCN1,"['CLC1', 'ClC-1']"
FOXD3,"['Genesis', 'HFH2']"
ZNF507,"['Zfp507', 'KIAA1084']"
HBG1,['HBG-T2']
SLC9A4,['NHE4']
ZNF44,"['ZNF55', 'ZNF58', 'KOX7', 'ZNF504']"
PEX11G,"['PEX11ÃŽÂ³', 'PEX11gamma']"
CCKAR,[nan]
FABP1,['L-FABP']
MTHFS,['HsT19268']
GTPBP8,['HSPC135']
RAG2,[nan]
GTF2H3,"['P34', 'BTF2', 'TFIIH']"
FBXO15,"['MGC39671', 'FBX15']"
SDR9C7,"['SDR-O', 'RDHS']"
ZNF436,"['Zfp46', 'KIAA1710']"
HMX2,['NKX5-2']
CDC26,"['APC12', 'ANAPC12', 'C9orf17']"
NOXO1,"['P41NOXA', 'SNX28', 'P41NOXB', 'SH3PXD5', 'P41NOXC']"
KRTAP10-6,"['KAP18.6', 'KRTAP18-6', 'KRTAP18.6', 'KAP10.6']"
ZNF74,"['ZNF520', 'Zfp520', 'Cos52']"
CRNN,"['SEP53', 'C1orf10']"
NBPF1,"['KIAA1693', 'FLJ20719']"
CCDC65,"['FLJ35732', 'FAP250', 'NYD-SP28', 'CFAP250', 'DRC2', 'CILD27']"
PPBP,"['MDGF', 'LDGF', 'CXCL7', 'Beta-TG', 'TGB1', 'NAP-2', 'b-TG1', 'CTAP3', 'LA-PF4', 'PBP', 'THBGB1', 'CTAPIII', 'SCYB7', 'NAP-2-L1', 'TGB']"
ZNF382,"['FLJ14686', 'KS1']"
IL12B,"['IL-12B', 'CLMF2', 'NKSF2', 'CLMF', 'NKSF']"
S100PBP,"['FLJ12903', 'S100PBPR']"
RNFT1,['PTD016']
DUSP27,[]
TAF5,"['TAFII100', 'TAF2D']"
GSTA2,['GST2']
CES1,"['CES2', 'CES1A2', 'CEH', 'HMSE1', 'CES1A1', 'HMSE', 'SES1']"
PRKRIP1,"['C114', 'FLJ13902', 'KRBOX3']"
PRIMPOL,"['CCDC111', 'FLJ33167']"
SWI5,"['SAE3', 'bA395P17.9', 'C9orf119']"
PDCD2L,['MGC13096']
COX18,['FLJ38991']
IRX4,[nan]
TAF12,"['TAF2J', 'TAFII20']"
ZNF175,['OTK18']
LCA5L,"['MGC33295', 'C21orf13']"
KPNA7,['IPOA8']
STC2,['STC-2']
ZNF157,['HZF22']
GOLGA6A,"['GOLGA6', 'GLP']"
GALR2,['GALNR2']
ZNF567,['MGC45586']
BNC1,"['BNC', 'HsT19447']"
DZIP1L,"['DZIP2', 'FLJ32844']"
FAHD1,"['C16orf36', 'DKFZP566J2046']"
SERPINB10,['PI10']
INO80C,"['FLJ38183', 'hIes6', 'C18orf37', 'IES6']"
ZSCAN25,"['ZNF498', 'FLJ32468']"
NUTM1,"['C15orf55', 'DKFZp434O192', 'FAM22H', 'NUT']"
GCG,"['GLP1', 'GLP2', 'GLP-1', 'GRPP']"
CT45A5,"['CT45-5', 'CT45.5']"
TKTL1,"['TKT2', 'TKR']"
ZNF566,"['FLJ14779', 'MGC12515']"
ARHGEF39,"['C9orf100', 'FLJ14642']"
IDS,"['SIDS', 'ID2S']"
PRDM14,[nan]
ZNF79,['pT7']
CR2,"['C3DR', 'CD21']"
HOXA2,['HOX1K']
ZNF160,"['KR18', 'HKr18', 'KIAA1611', 'HZF5', 'F11', 'FLJ00032']"
SIGLEC9,['CD329']
ZNF589,['SZF1']
ZNF260,"['ozrf1', 'Zfp260']"
SERPINA12,['OL-64']
XRCC2,['FANCU']
KRT23,"['MGC26158', 'HAIK1', 'CK23', 'DKFZP434G032', 'K23']"
DMRT2,[nan]
ZNF33B,"['KOX2', 'ZNF11B', 'KOX31']"
AKR1B10,"['HSI', 'HIS', 'ARL1', 'ARL-1', 'AKR1B11', 'ALDRLn', 'AKR1B12']"
USP51,[nan]
TRIM34,['RNF21']
ZFP3,"['FLJ30726', 'ZNF752']"
ZNF585A,"['Zfp27', 'FLJ23765']"
TCL1A,['TCL1']
DCSTAMP,"['DC-STAMP', 'TM7SF4', 'FIND']"
ZNF20,['KOX13']
LBH,[nan]
MGAT2,['GNT-II']
SNRNP35,['U1SNRNPBP']
HOXA11,"['HOX1', 'HOX1I']"
ZNF502,"['FLJ14855', 'FLJ12515']"
TRAPPC4,"['TRS23', 'SBDN', 'PTD009']"
MAU2,"['mau-2', 'KIAA0892', 'MAU2L', 'SCC4', 'MGC75361']"
USP17L2,['DUB3']
CRISP3,"['CRISP-3', 'CRS3', 'SGP28', 'Aeg2', 'dJ442L6.3']"
GNLY,"['D2S69E', 'LAG-2', 'TLA519', 'NKG5', 'LAG2']"
DDTL,[nan]
EXD1,"['EXDL1', 'MGC33637']"
BOLA1,['CGI-143']
ZNF792,['FLJ38451']
KRT20,"['MGC35423', 'CK20', 'K20']"
GEMIN6,['FLJ23459']
NDUFA6,"['LYRM6', 'NADHB14', 'CI-B14', 'B14']"
MAGEB4,"['CT3.6', 'MGC33144']"
SEMG1,"['CT103', 'SEMG']"
ZNF16,['KOX9']
SLC2A9,"['GLUTX', 'URATv1', 'Glut9']"
PTTG2,[nan]
TIGIT,"['FLJ39873', 'DKFZp667A205', 'VSTM3', 'VSIG9']"
HHEX,"['PRHX', 'HEX', 'HOX11L-PEN']"
OR8D4,[nan]
MAGEA3,"['HIP8', 'MAGE3', 'HYPD', 'MGC14613', 'CT1.3']"
TMED6,"['p24g5', 'MGC23911', 'p24gamma5']"
ZNF333,['KIAA1806']
PLEK2,[nan]
PXT1,['STEPP']
ZNF77,['pT1']
ZNF182,"['ZNF21', 'KOX14', 'Zfp182', 'HHZ150']"
FCRL1,"['IFGP1', 'FCRH1', 'CD307a', 'IRTA5']"
LRR1,"['PPIL5', 'LRR-1', 'MGC20689']"
TNFRSF11B,"['TR1', 'OPG', 'OCIF']"
LRIT1,"['DKFZP434K091', 'LRRC21', 'FIGLER9', 'PAL']"
IL10RB,"['CDW210B', 'CRF2-4', 'D21S58', 'CRFB4', 'IL-10R2', 'D21S66']"
CD300LG,"['Trem4', 'CLM9']"
HOXD3,"['HOX4A', 'HOX1D', 'HOX4']"
IFIT1B,"['IFIT1L', 'bA149I23.6']"
ZNF26,"['KOX20', 'FLJ20755']"
ZNF765,[nan]
CD99,['MIC2']
CD180,"['LY64', 'Ly78', 'RP105']"
ZNF695,['SBZF3']
ZNF383,"['Zfp383', 'FLJ35863']"
S100P,[nan]
PIGR,[nan]
ZNF92,"['HPF12', 'TF12']"
ZNF772,['DKFZp686I1569']
RPAIN,"['hRIP', 'RIP', 'MGC4189']"
PCDHB2,['PCDH-BETA2']
SERPINA4,"['KAL', 'KLST', 'KST', 'PI4']"
GPR119,"['GPCR2', 'hGPCR2']"
PTX3,"['TSG-14', 'TNFAIP5']"
ZSCAN4,"['ZNF494', 'FLJ35105']"
PON3,[nan]
PIP,"['GPIP4', 'GCDFP15', 'GCDFP-15']"
ZNF594,['KIAA1871']
IGSF6,['DORA']
PRDM7,['ZNF910']
TVP23C,"['MGC8763', 'FAM18B2']"
TAS1R1,"['GPR70', 'T1R1', 'TR1']"
ZNF543,['DKFZp434H055']
MT1F,['MT1']
PAX4,['MODY9']
MS4A3,"['HTM4', 'CD20L']"
ZNF432,['KIAA0798']
SECISBP2,['SBP2']
HOXB8,"['HOX2', 'HOX2D']"
RNPEP,['APB']
CSNK2A3,['CSNK2A1P']
PDSS1,"['COQ1A', 'TPRT', 'TPT', 'COQ1']"
TBCCD1,['FLJ10560']
PPIAL4D,[nan]
MUC16,"['FLJ14303', 'CA-125', 'CA125']"
SLC7A6,"['KIAA0245', 'y+LAT-2', 'LAT3', 'LAT-2']"
POLG2,"['MTPOLB', 'HP55']"
HSD3B1,"['HSDB3', 'SDR11E1', 'HSD3B']"
MOGAT2,"['MGAT2', 'FLJ22644', 'DGAT2L5']"
TRAPPC3L,"['FLJ11180', 'BET3L', 'bA259P20.2']"
ZNF610,['FLJ36040']
CNGA2,"['CNG2', 'FLJ46312', 'OCNC1', 'CNCA1', 'CNCA', 'OCNCALPHA', 'OCNCa']"
ZFY,['ZNF911']
PAPOLB,['PAPT']
ZNF669,['FLJ12606']
NPHS2,"['SRN1', 'PDCN']"
ZNF235,"['HZF6', 'ZFP93', 'ZNF270', 'ANF270']"
ELP5,"['DERP6', 'C17orf81']"
CCZ1B,"['DKFZP586I1023', 'MGC19819', 'C7orf28B', 'H_NH0577018.2']"
CD300E,"['CLM2', 'IREM2', 'CD300LE']"
FBXO39,"['CT144', 'MGC35179', 'Fbx39']"
KIF4B,[nan]
UGT3A2,[nan]
SSX3,['CT5.3']
MMAA,['cblA']
TKTL2,"['DKFZP434L1717', 'FLJ32975']"
SIGLEC5,"['OB-BP2', 'CD170', 'CD33L2', 'SIGLEC-5']"
SLC7A9,['CSNU3']
B4GALNT2,"['GALGT2', 'Sda', 'Cad']"
TMEM190,['MDAC1']
GJC3,"['CX30.2', 'GJE1']"
UPB1,['BUP1']
AKR1C4,"['MGC22581', 'HAKRA', 'CHDR', 'DD4', '3-alpha-HSD', 'CDR', 'C11']"
ANKRD53,"['FLJ12056', 'FLJ36160']"
FOXR1,"['FOXN5', 'DLNB13']"
TRMT44,"['TRM44', 'METTL19', 'FLJ35725', 'C4orf23']"
POLR2D,['RPB4']
ZNF133,"['pHZ-66', 'pHZ-13', 'ZNF150']"
PRDM13,['PFM10']
TEFM,"['FLJ22729', 'C17orf42']"
POLR2J3,[nan]
ZNF672,['FLJ22301']
KRT37,['KRTHA7']
HOXC13,"['HOX3', 'HOX3G']"
S100A5,['S100D']
ZNF671,['FLJ23506']
GSTA3,[nan]
TEKT5,"['FLJ32871', 'CT149']"
SLC25A31,"['ANT4', 'DKFZP434N1235']"
SHOX,"['PHOG', 'SHOXY', 'SS', 'GCFX']"
ENPP4,"['NPP4', 'AP3Aase', 'KIAA0879']"
ACTR8,"['ARP8', 'INO80N']"
NT5C1B,"['CN-IB', 'AIRP']"
CD40LG,"['TNFSF5', 'gp39', 'IMD3', 'TRAP', 'CD40L', 'hCD40L', 'CD154', 'HIGM1']"
ZNF19,"['KOX12', 'MGC51021']"
